Animal; Gene; Active Genome Part; Energy; Eaten Plants; Children Count; Descendants Count; Days Lived; Death Day; Day
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 1; 9; 0; 0; 0; 1; Alive; 1
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 4; 8; 0; 0; 0; 2; Alive; 2
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 0; 7; 0; 0; 0; 3; Alive; 3
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 2; 6; 0; 0; 0; 4; Alive; 4
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 3; 5; 0; 0; 0; 5; Alive; 5
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 5; 14; 1; 0; 0; 6; Alive; 6
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 6; 13; 1; 0; 0; 7; Alive; 7
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 1; 22; 2; 0; 0; 8; Alive; 8
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 0; 21; 2; 0; 0; 9; Alive; 9
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 0; 30; 3; 0; 0; 10; Alive; 10
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 1; 39; 4; 0; 0; 11; Alive; 11
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 4; 38; 4; 0; 0; 12; Alive; 12
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 0; 37; 4; 0; 0; 13; Alive; 13
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 2; 36; 4; 0; 0; 14; Alive; 14
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 3; 35; 4; 0; 0; 15; Alive; 15
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 5; 44; 5; 0; 0; 16; Alive; 16
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 6; 53; 6; 1; 1; 17; Alive; 17
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 1; 52; 6; 1; 1; 18; Alive; 18
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 1; 51; 6; 1; 1; 19; Alive; 19
0; [0, 1, 4, 0, 2, 3, 5, 6, 1, 0]; 0; 50; 6; 1; 1; 20; Alive; 20
