Animal; Gene; Active Genome Part; Energy; Eaten Plants; Children Count; Descendants Count; Days Lived; Death Day; Day
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 29; 0; 0; 0; 1; Alive; 1
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 28; 0; 0; 0; 2; Alive; 2
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 27; 0; 0; 0; 3; Alive; 3
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 26; 0; 0; 0; 4; Alive; 4
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 25; 0; 0; 0; 5; Alive; 5
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 54; 1; 0; 0; 6; Alive; 6
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 53; 1; 0; 0; 7; Alive; 7
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 52; 1; 0; 0; 8; Alive; 8
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 51; 1; 0; 0; 9; Alive; 9
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 50; 1; 0; 0; 10; Alive; 10
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 49; 1; 0; 0; 11; Alive; 11
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 48; 1; 0; 0; 12; Alive; 12
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 47; 1; 0; 0; 13; Alive; 13
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 76; 2; 0; 0; 14; Alive; 14
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 75; 2; 0; 0; 15; Alive; 15
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 74; 2; 0; 0; 16; Alive; 16
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 103; 3; 0; 0; 17; Alive; 17
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 102; 3; 0; 0; 18; Alive; 18
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 5; 101; 3; 0; 0; 19; Alive; 19
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 100; 3; 0; 0; 20; Alive; 20
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 99; 3; 0; 0; 21; Alive; 21
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 98; 3; 0; 0; 22; Alive; 22
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 97; 3; 0; 0; 23; Alive; 23
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 96; 3; 0; 0; 24; Alive; 24
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 95; 3; 0; 0; 25; Alive; 25
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 94; 3; 0; 0; 26; Alive; 26
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 93; 3; 0; 0; 27; Alive; 27
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 122; 4; 0; 0; 28; Alive; 28
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 121; 4; 0; 0; 29; Alive; 29
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 120; 4; 0; 0; 30; Alive; 30
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 119; 4; 0; 0; 31; Alive; 31
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 148; 5; 0; 0; 32; Alive; 32
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 147; 5; 0; 0; 33; Alive; 33
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 146; 5; 0; 0; 34; Alive; 34
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 145; 5; 0; 0; 35; Alive; 35
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 174; 6; 0; 0; 36; Alive; 36
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 173; 6; 0; 0; 37; Alive; 37
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 172; 6; 0; 0; 38; Alive; 38
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 171; 6; 0; 0; 39; Alive; 39
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 200; 7; 0; 0; 40; Alive; 40
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 229; 8; 0; 0; 41; Alive; 41
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 258; 9; 0; 0; 42; Alive; 42
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 287; 10; 0; 0; 43; Alive; 43
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 316; 11; 0; 0; 44; Alive; 44
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 345; 12; 0; 0; 45; Alive; 45
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 374; 13; 0; 0; 46; Alive; 46
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 403; 14; 0; 0; 47; Alive; 47
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 432; 15; 0; 0; 48; Alive; 48
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 431; 15; 0; 0; 49; Alive; 49
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 430; 15; 0; 0; 50; Alive; 50
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 429; 15; 0; 0; 51; Alive; 51
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 5; 428; 15; 0; 0; 52; Alive; 52
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 427; 15; 0; 0; 53; Alive; 53
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 456; 16; 0; 0; 54; Alive; 54
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 455; 16; 0; 0; 55; Alive; 55
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 454; 16; 0; 0; 56; Alive; 56
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 453; 16; 0; 0; 57; Alive; 57
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 452; 16; 0; 0; 58; Alive; 58
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 481; 17; 0; 0; 59; Alive; 59
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 510; 18; 0; 0; 60; Alive; 60
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 509; 18; 0; 0; 61; Alive; 61
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 508; 18; 0; 0; 62; Alive; 62
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 507; 18; 0; 0; 63; Alive; 63
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 536; 19; 0; 0; 64; Alive; 64
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 535; 19; 0; 0; 65; Alive; 65
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 5; 534; 19; 0; 0; 66; Alive; 66
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 533; 19; 0; 0; 67; Alive; 67
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 532; 19; 0; 0; 68; Alive; 68
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 561; 20; 0; 0; 69; Alive; 69
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 560; 20; 0; 0; 70; Alive; 70
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 589; 21; 0; 0; 71; Alive; 71
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 588; 21; 0; 0; 72; Alive; 72
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 617; 22; 0; 0; 73; Alive; 73
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 616; 22; 0; 0; 74; Alive; 74
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 615; 22; 0; 0; 75; Alive; 75
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 614; 22; 0; 0; 76; Alive; 76
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 613; 22; 0; 0; 77; Alive; 77
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 5; 607; 22; 1; 1; 78; Alive; 78
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 601; 22; 2; 3; 79; Alive; 79
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 1; 630; 23; 2; 3; 80; Alive; 80
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 3; 659; 24; 2; 4; 81; Alive; 81
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 688; 25; 2; 4; 82; Alive; 82
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 0; 687; 25; 2; 4; 83; Alive; 83
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 6; 716; 26; 2; 5; 84; Alive; 84
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 715; 26; 2; 6; 85; Alive; 85
2; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]; 2; 709; 26; 3; 8; 86; Alive; 86
