Day; Animal Number; Grass Number; Free Fields; Average Energy; Average Lifespan; Average Children Number; Gene
1; 11; 0; 889; 29.0; 1.0; 0.0; [0, 7, 5, 2, 2, 7, 1, 5, 4, 4]
2; 12; 14; 876; 25.666666; 1.8333334; 0.16666667; [0, 7, 5, 2, 2, 7, 1, 5, 4, 4]
3; 12; 28; 860; 24.666666; 2.8333333; 0.16666667; [0, 7, 5, 2, 2, 7, 1, 5, 4, 4]
4; 12; 41; 847; 26.166666; 3.8333333; 0.16666667; [0, 7, 5, 2, 2, 7, 1, 5, 4, 4]
5; 12; 54; 834; 27.666666; 4.8333335; 0.16666667; [0, 7, 5, 2, 2, 7, 1, 5, 4, 4]
6; 13; 67; 822; 26.923077; 5.3846154; 0.30769232; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
7; 12; 81; 807; 28.083334; 6.5; 0.25; [0, 7, 5, 2, 2, 7, 1, 5, 4, 4]
8; 12; 95; 793; 27.083334; 7.5; 0.25; [0, 7, 5, 2, 2, 7, 1, 5, 4, 4]
9; 12; 108; 780; 28.583334; 8.5; 0.25; [0, 7, 5, 2, 2, 7, 1, 5, 4, 4]
10; 13; 120; 769; 30.076923; 8.769231; 0.3846154; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
11; 13; 132; 755; 33.692307; 9.769231; 0.3846154; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
12; 13; 146; 741; 32.692307; 10.769231; 0.3846154; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
13; 13; 158; 730; 36.307693; 11.769231; 0.3846154; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
14; 14; 171; 717; 34.92857; 11.857142; 0.5; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
15; 15; 184; 703; 33.666668; 12.0; 0.6; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
16; 16; 195; 693; 36.25; 11.5625; 0.8125; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
17; 16; 207; 680; 39.0; 12.5625; 0.8125; [3, 6, 0, 6, 2, 2, 2, 5, 6, 1]
