Day; Animal Number; Grass Number; Free Fields; Average Energy; Average Lifespan; Average Children Number; Gene
1; 4; 13; 84; 11.5; 1.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
2; 4; 16; 81; 13.0; 2.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
3; 4; 19; 78; 14.5; 3.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
4; 4; 22; 75; 13.5; 4.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
5; 4; 23; 74; 15.0; 5.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
6; 4; 24; 74; 19.0; 6.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
7; 4; 25; 71; 18.0; 7.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
8; 4; 25; 71; 22.0; 8.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
9; 4; 25; 71; 23.5; 9.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
10; 4; 25; 73; 27.5; 10.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
11; 4; 27; 69; 29.0; 11.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
12; 4; 29; 67; 30.5; 12.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
13; 4; 29; 67; 32.0; 13.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
14; 4; 29; 67; 31.0; 14.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
15; 4; 30; 66; 32.5; 15.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
16; 4; 30; 66; 34.0; 16.0; 0.0; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
17; 5; 28; 69; 34.4; 13.6; 0.4; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
18; 5; 29; 66; 35.4; 14.6; 0.4; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
19; 5; 28; 68; 40.4; 15.6; 0.4; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
20; 5; 30; 65; 39.4; 16.6; 0.4; [3, 3, 1, 7, 5, 4, 5, 5, 1, 2]
